num_threads,N,M,result,time
1,4,2,0,1.3e-05
1,4,2,0,1.7e-05
1,4,2,0,1.6e-05
1,4,2,0,2.3e-05
1,4,2,0,1.9e-05
1,4,2,0,1.5e-05
1,4,2,0,1.3e-05
1,4,2,0,1.6e-05
1,4,2,0,1.5e-05
1,4,2,0,1.5e-05
1,16,8,0,1.7e-05
1,16,8,0,2.4e-05
1,16,8,0,2.2e-05
1,16,8,0,2.6e-05
1,16,8,0,2.7e-05
1,16,8,0,2.6e-05
1,16,8,0,2.3e-05
1,16,8,0,2.3e-05
1,16,8,0,2.4e-05
1,16,8,0,3.2e-05
1,256,128,0,0.002151
1,256,128,0,0.001784
1,256,128,0,0.00163
1,256,128,0,0.002457
1,256,128,0,0.002055
1,256,128,0,0.002177
1,256,128,0,0.002288
1,256,128,0,0.00195
1,256,128,0,0.002154
1,256,128,0,0.002167
1,1024,512,0,0.027276
1,1024,512,0,0.027704
1,1024,512,0,0.027018
1,1024,512,0,0.026305
1,1024,512,0,0.02867
1,1024,512,0,0.027301
1,1024,512,0,0.027766
1,1024,512,0,0.027251
1,1024,512,0,0.02677
1,1024,512,0,0.025922
1,4096,2048,0,0.423004
1,4096,2048,0,0.415221
1,4096,2048,0,0.412624
1,4096,2048,0,0.418414
1,4096,2048,0,0.414723
1,4096,2048,0,0.40874
1,4096,2048,0,0.419887
1,4096,2048,0,0.412014
1,4096,2048,0,0.426108
1,4096,2048,0,0.408854
1,16384,8192,0,6.61994
1,16384,8192,0,6.62191
1,16384,8192,0,6.65275
1,16384,8192,0,6.63801
1,16384,8192,0,6.57224
1,16384,8192,0,6.45346
1,16384,8192,0,6.45886
1,16384,8192,0,6.64306
1,16384,8192,0,6.63567
1,16384,8192,0,6.66703
2,4,2,0,7.6e-05
2,4,2,0,6.2e-05
2,4,2,0,7.9e-05
2,4,2,0,6.5e-05
2,4,2,0,7.7e-05
2,4,2,0,7.9e-05
2,4,2,0,6.7e-05
2,4,2,0,6.4e-05
2,4,2,0,7.3e-05
2,4,2,0,7.5e-05
2,16,8,0,7.8e-05
2,16,8,0,6.4e-05
2,16,8,0,7.3e-05
2,16,8,0,8.8e-05
2,16,8,0,7.9e-05
2,16,8,0,9.6e-05
2,16,8,0,6.3e-05
2,16,8,0,7.1e-05
2,16,8,0,6.8e-05
2,16,8,0,7.5e-05
2,256,128,0,0.000906
2,256,128,0,0.001151
2,256,128,0,0.000986
2,256,128,0,0.001196
2,256,128,0,0.001317
2,256,128,0,0.000989
2,256,128,0,0.001153
2,256,128,0,0.001333
2,256,128,0,0.001299
2,256,128,0,0.001165
2,1024,512,0,0.013472
2,1024,512,0,0.014314
2,1024,512,0,0.014125
2,1024,512,0,0.01426
2,1024,512,0,0.017857
2,1024,512,0,0.013621
2,1024,512,0,0.016056
2,1024,512,0,0.014542
2,1024,512,0,0.015799
2,1024,512,0,0.0138
2,4096,2048,0,0.203599
2,4096,2048,0,0.202434
2,4096,2048,0,0.205945
2,4096,2048,0,0.212216
2,4096,2048,0,0.205714
2,4096,2048,0,0.216691
2,4096,2048,0,0.209695
2,4096,2048,0,0.218683
2,4096,2048,0,0.204672
2,4096,2048,0,0.211478
2,16384,8192,0,3.42806
2,16384,8192,0,3.42191
