num_threads,num_step,time,pi
1,1000000,0.011061,3.14159
1,1000000,0.011184,3.14159
1,1000000,0.011182,3.14159
1,1000000,0.026366,3.14159
1,1000000,0.011233,3.14159
1,1000000,0.011296,3.14159
1,1000000,0.011192,3.14159
1,1000000,0.011241,3.14159
1,1000000,0.011221,3.14159
1,1000000,0.011498,3.14159
1,100000000,1.11827,3.14159
1,100000000,1.12002,3.14159
1,100000000,1.13888,3.14159
1,100000000,1.11447,3.14159
1,100000000,1.11005,3.14159
1,100000000,1.12265,3.14159
1,100000000,1.10891,3.14159
1,100000000,1.11574,3.14159
1,100000000,1.12525,3.14159
1,100000000,1.10861,3.14159
2,1000000,0.04563,3.14159
2,1000000,0.052164,3.14159
2,1000000,0.048862,3.14159
2,1000000,0.046893,3.14159
2,1000000,0.040234,3.14159
2,1000000,0.0497,3.14159
2,1000000,0.039739,3.14159
2,1000000,0.036027,3.14159
2,1000000,0.051451,3.14159
2,1000000,0.049795,3.14159
2,100000000,4.54627,3.14159
2,100000000,3.36976,3.14159
2,100000000,5.13599,3.14159
2,100000000,5.02286,3.14159
2,100000000,4.93895,3.14159
2,100000000,3.37256,3.14159
2,100000000,5.07034,3.14159
2,100000000,4.64238,3.14159
2,100000000,4.57607,3.14159
2,100000000,4.50737,3.14159
4,1000000,0.067581,3.14159
4,1000000,0.067867,3.14159
4,1000000,0.060475,3.14159
4,1000000,0.062365,3.14159
4,1000000,0.068099,3.14159
4,1000000,0.067647,3.14159
4,1000000,0.060215,3.14159
4,1000000,0.057672,3.14159
4,1000000,0.055112,3.14159
4,1000000,0.068991,3.14159
4,100000000,5.84484,3.14159
4,100000000,5.71187,3.14159
4,100000000,5.87926,3.14159
4,100000000,6.70756,3.14159
4,100000000,6.01343,3.14159
4,100000000,6.74567,3.14159
4,100000000,6.02729,3.14159
4,100000000,6.69459,3.14159
4,100000000,6.07245,3.14159
4,100000000,6.75653,3.14159
8,1000000,0.0926,3.14159
8,1000000,0.105265,3.14159
8,1000000,0.094397,3.14159
8,1000000,0.090337,3.14159
8,1000000,0.102725,3.14159
8,1000000,0.086172,3.14159
8,1000000,0.106353,3.14159
8,1000000,0.106444,3.14159
8,1000000,0.100648,3.14159
8,1000000,0.105233,3.14159
8,100000000,10.2775,3.14159
8,100000000,9.68286,3.14159
8,100000000,10.5056,3.14159
8,100000000,10.2435,3.14159
8,100000000,10.3579,3.14159
8,100000000,7.67834,3.14159
8,100000000,8.61304,3.14159
8,100000000,8.22899,3.14159
8,100000000,10.1526,3.14159
8,100000000,7.72908,3.14159
